mod,nAg,rRep,rOr,rOrX,rAt,rAtX,trial,iso,cco,exp,cc,degIn,degOut,avgDeg,degTot,astk,dirOld,dir,iter,inf,sstk,fda
T7,100,10,15,1.50X,22,1.50X,2,1,5.88,19.4,0.73,6.93,6.93,6.93,13.86,74,0.56,0.01,1567,0.08,218,0.13
T7,100,10,15,1.50X,22,1.50X,20,1,3.3,-57.78,0.62,6.93,6.93,6.93,13.86,57,2.45,0.02,718,0.33,482,0.52
T7,100,10,15,1.50X,22,1.50X,21,1,3.62,-14.42,0.63,6.93,6.93,6.93,13.86,57,2.08,0.02,877,0.28,568,0.55
T7,100,10,15,1.50X,22,1.50X,22,1,4.76,-20.56,0.65,6.93,6.93,6.93,13.86,36,0.91,0.01,1585,0.11,119,0.38
T7,100,10,15,1.50X,22,1.50X,23,1,4.16,-30.51,0.64,6.93,6.93,6.93,13.86,63,1.62,0.02,1301,0.13,631,0.21
T7,100,10,15,1.50X,22,1.50X,24,1,3.71,-77.21,0.62,6.93,6.93,6.93,13.86,76,1.72,0.02,1096,0.19,897,0.25
T7,100,10,15,1.50X,22,1.50X,3,1,3.62,-14.97,0.62,6.93,6.93,6.93,13.86,64,3.31,0.03,717,0.27,1022,0.74
T7,100,10,15,1.50X,22,1.50X,4,1,4.75,10.01,0.66,6.93,6.93,6.93,13.86,82,1.08,0.01,1130,0.16,397,0.23
T7,100,10,15,1.50X,22,1.50X,5,1,4.49,-7.4,0.68,6.93,6.93,6.93,13.86,63,1.98,0.02,591,0.23,769,0.45
T7,100,10,15,1.50X,22,1.50X,6,1,4.12,-10.53,0.67,6.93,6.93,6.93,13.86,113,1.98,0.02,42,0.26,1560,0.22
T7,100,10,15,1.50X,22,1.50X,7,1,3.05,-75.64,0.59,6.93,6.93,6.93,13.86,53,1.21,0.01,1369,0.18,553,0.42
T7,100,10,15,1.50X,22,1.50X,8,1,3.68,-38.09,0.63,6.93,6.93,6.93,13.86,70,1.69,0.02,938,0.17,534,0.36
T7,100,10,15,1.50X,22,1.50X,9,1,4.65,-14.71,0.68,6.93,6.93,6.93,13.86,68,2.41,0.02,582,0.25,930,0.47
T7,200,10,15,1.50X,22,1.50X,0,1,3.12,-50.41,0.57,6.97,6.97,6.97,13.93,82,2.85,0.01,238,0.46,1313,0.28
